question_number,question,code,source,tables,text_for_embedding,curl,timestamp,answer
42,Số phản hồi khảo sát theo từng nhóm sản phẩm trong quý 1 năm 2025 là bao nhiêu?,"{""measures"":[""cx_sur_question_response.response_count""],""dimensions"":[""cx_sur_question_response.product_category""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-03-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Số phản hồi khảo sát theo từng nhóm sản phẩm trong quý 1 năm 2025 là bao nhiêu?,,,
43,Xu hướng điểm CSAT theo tháng trong năm 2024 như thế nào?,"{""measures"":[""cx_sur_question_response.csat_score""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""granularity"":""month"",""dateRange"":[""2024-01-01"",""2024-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Xu hướng điểm CSAT theo tháng trong năm 2024 như thế nào?,,,
44,Có bao nhiêu phản hồi khảo sát cho từng loại tương tác khách hàng trong năm 2025?,"{""measures"":[""cx_sur_question_response.response_count""],""dimensions"":[""cx_sur_question_response.customer_touchpoint""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Có bao nhiêu phản hồi khảo sát cho từng loại tương tác khách hàng trong năm 2025?,,,
45,Số lượng câu hỏi khảo sát khác nhau được trả lời trong năm 2025 là bao nhiêu?,"{""measures"":[""cx_sur_question_response.distinct_response_count""],""dimensions"":[""cx_sur_question_response.question_id""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Số lượng câu hỏi khảo sát khác nhau được trả lời trong năm 2025 là bao nhiêu?,,,
46,Phân bố số phản hồi khảo sát theo loại KPI trong năm 2025 như thế nào?,"{""measures"":[""cx_sur_question_response.response_count""],""dimensions"":[""cx_sur_question_response.kpi_type_bucket""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Phân bố số phản hồi khảo sát theo loại KPI trong năm 2025 như thế nào?,,,
47,Nhóm sản phẩm nào có số lượng detractor cao nhất trong năm 2025?,"{""measures"":[""cx_sur_question_response.detractor_count""],""dimensions"":[""cx_sur_question_response.product_category""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}],""order"":{""cx_sur_question_response.detractor_count"":""desc""}}",cx_cso,"[""cx_sur_question_response""]",Nhóm sản phẩm nào có số lượng detractor cao nhất trong năm 2025?,,,
48,Số lượng promoter theo từng loại tương tác khách hàng trong năm 2025 là bao nhiêu?,"{""measures"":[""cx_sur_question_response.promoter_count""],""dimensions"":[""cx_sur_question_response.customer_touchpoint""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Số lượng promoter theo từng loại tương tác khách hàng trong năm 2025 là bao nhiêu?,,,
49,Điểm trung bình khảo sát theo từng loại câu hỏi trong năm 2025 là bao nhiêu?,"{""measures"":[""cx_sur_question_response.avg_score""],""dimensions"":[""cx_sur_question_response.question_type""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Điểm trung bình khảo sát theo từng loại câu hỏi trong năm 2025 là bao nhiêu?,,,
50,Có bao nhiêu phản hồi khảo sát cho từng lựa chọn trả lời trong năm 2025?,"{""measures"":[""cx_sur_question_response.response_count""],""dimensions"":[""cx_sur_question_response.choice_content""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Có bao nhiêu phản hồi khảo sát cho từng lựa chọn trả lời trong năm 2025?,,,
51,Xu hướng số lượng promoter theo tháng trong năm 2025 như thế nào?,"{""measures"":[""cx_sur_question_response.promoter_count""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Xu hướng số lượng promoter theo tháng trong năm 2025 như thế nào?,,,
52,Xu hướng số lượng detractor theo tháng trong năm 2025 như thế nào?,"{""measures"":[""cx_sur_question_response.detractor_count""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Xu hướng số lượng detractor theo tháng trong năm 2025 như thế nào?,,,
53,Số lượng phản hồi khảo sát theo từng câu hỏi khảo sát trong năm 2025 là bao nhiêu?,"{""measures"":[""cx_sur_question_response.response_count""],""dimensions"":[""cx_sur_question_response.question_clean""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Số lượng phản hồi khảo sát theo từng câu hỏi khảo sát trong năm 2025 là bao nhiêu?,,,
54,Nhóm sản phẩm nào có số phản hồi khảo sát thấp nhất trong năm 2025?,"{""measures"":[""cx_sur_question_response.response_count""],""dimensions"":[""cx_sur_question_response.product_category""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}],""order"":{""cx_sur_question_response.response_count"":""asc""}}",cx_cso,"[""cx_sur_question_response""]",Nhóm sản phẩm nào có số phản hồi khảo sát thấp nhất trong năm 2025?,,,
55,Trong năm 2025 có bao nhiêu người phản hồi khảo sát cho từng nhóm sản phẩm?,"{""measures"":[""cx_sur_question_response.distinct_respondent_count""],""dimensions"":[""cx_sur_question_response.product_category""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Trong năm 2025 có bao nhiêu người phản hồi khảo sát cho từng nhóm sản phẩm?,,,
56,So sánh điểm CSAT trung bình giữa các nhóm sản phẩm trong năm 2025.,"{""measures"":[""cx_sur_question_response.csat_score""],""dimensions"":[""cx_sur_question_response.product_category""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",So sánh điểm CSAT trung bình giữa các nhóm sản phẩm trong năm 2025.,,,
57,So sánh điểm CES trung bình giữa các nhóm sản phẩm trong năm 2025.,"{""measures"":[""cx_sur_question_response.ces_score""],""dimensions"":[""cx_sur_question_response.product_category""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",So sánh điểm CES trung bình giữa các nhóm sản phẩm trong năm 2025.,,,
58,Trong năm 2025 có tháng nào số phản hồi khảo sát tăng đột biến không?,"{""measures"":[""cx_sur_question_response.response_count""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Trong năm 2025 có tháng nào số phản hồi khảo sát tăng đột biến không?,,,
59,Có bao nhiêu phản hồi khảo sát theo từng item_score_label trong năm 2025?,"{""measures"":[""cx_sur_question_response.response_count""],""dimensions"":[""cx_sur_question_response.item_score_label""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Có bao nhiêu phản hồi khảo sát theo từng item_score_label trong năm 2025?,,,
60,Xu hướng điểm trung bình khảo sát theo tháng trong năm 2025 như thế nào?,"{""measures"":[""cx_sur_question_response.avg_score""],""timeDimensions"":[{""dimension"":""cx_sur_question_response.collected_date"",""granularity"":""month"",""dateRange"":[""2025-01-01"",""2025-12-31""]}]}",cx_cso,"[""cx_sur_question_response""]",Xu hướng điểm trung bình khảo sát theo tháng trong năm 2025 như thế nào?,,,
1,Có tổng cộng bao nhiêu lựa chọn trả lời trong toàn bộ hệ thống khảo sát?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Có tổng cộng bao nhiêu lựa chọn trả lời trong toàn bộ hệ thống khảo sát?,,,
2,Có bao nhiêu câu hỏi khảo sát duy nhất trong hệ thống?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Có bao nhiêu câu hỏi khảo sát duy nhất trong hệ thống?,,,
3,Có bao nhiêu khảo sát khác nhau trong dataset?,"{""measures"":[""cx_sur_question_answer_choices.distinct_survey_count""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Có bao nhiêu khảo sát khác nhau trong dataset?,,,
4,Số lượng lựa chọn trả lời theo từng loại KPI CX là bao nhiêu?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.kpi_type""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Số lượng lựa chọn trả lời theo từng loại KPI CX là bao nhiêu?,,,
5,Số lượng câu hỏi khảo sát theo từng nhóm sản phẩm là bao nhiêu?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.product_category""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Số lượng câu hỏi khảo sát theo từng nhóm sản phẩm là bao nhiêu?,,,
6,Phân bố số lượng câu hỏi khảo sát theo từng giai đoạn hành trình khách hàng là như thế nào?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.journey""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Phân bố số lượng câu hỏi khảo sát theo từng giai đoạn hành trình khách hàng là như thế nào?,,,
7,Số lượng lựa chọn trả lời theo từng điểm chạm khách hàng là bao nhiêu?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.customer_touchpoint""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Số lượng lựa chọn trả lời theo từng điểm chạm khách hàng là bao nhiêu?,,,
8,Loại KPI CX nào có nhiều câu hỏi khảo sát nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.kpi_type""],""order"":{""cx_sur_question_answer_choices.distinct_question_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Loại KPI CX nào có nhiều câu hỏi khảo sát nhất?,,,
9,Loại KPI CX nào có ít câu hỏi khảo sát nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.kpi_type""],""order"":{""cx_sur_question_answer_choices.distinct_question_count"":""asc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Loại KPI CX nào có ít câu hỏi khảo sát nhất?,,,
10,Nhóm sản phẩm nào có nhiều lựa chọn trả lời nhất trong các khảo sát?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.product_category""],""order"":{""cx_sur_question_answer_choices.answer_choice_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Nhóm sản phẩm nào có nhiều lựa chọn trả lời nhất trong các khảo sát?,,,
11,Nhóm sản phẩm nào có ít lựa chọn trả lời nhất trong khảo sát?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.product_category""],""order"":{""cx_sur_question_answer_choices.answer_choice_count"":""asc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Nhóm sản phẩm nào có ít lựa chọn trả lời nhất trong khảo sát?,,,
12,So sánh số lượng câu hỏi khảo sát giữa các loại KPI CX.,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.kpi_type""]}",cx_cso,"[""cx_sur_question_answer_choices""]",So sánh số lượng câu hỏi khảo sát giữa các loại KPI CX.,,,
13,So sánh số lượng câu hỏi khảo sát giữa các giai đoạn hành trình khách hàng.,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.journey""]}",cx_cso,"[""cx_sur_question_answer_choices""]",So sánh số lượng câu hỏi khảo sát giữa các giai đoạn hành trình khách hàng.,,,
14,Phân bố số lượng lựa chọn trả lời theo từng loại câu hỏi khảo sát là như thế nào?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.question_type""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Phân bố số lượng lựa chọn trả lời theo từng loại câu hỏi khảo sát là như thế nào?,,,
15,Điểm chạm khách hàng nào có nhiều câu hỏi khảo sát nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.customer_touchpoint""],""order"":{""cx_sur_question_answer_choices.distinct_question_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Điểm chạm khách hàng nào có nhiều câu hỏi khảo sát nhất?,,,
16,Giai đoạn hành trình khách hàng nào có nhiều lựa chọn trả lời nhất trong khảo sát?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.journey""],""order"":{""cx_sur_question_answer_choices.answer_choice_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Giai đoạn hành trình khách hàng nào có nhiều lựa chọn trả lời nhất trong khảo sát?,,,
17,Có bao nhiêu loại KPI CX khác nhau được sử dụng trong khảo sát?,"{""measures"":[""cx_sur_question_answer_choices.distinct_kpi_type_count""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Có bao nhiêu loại KPI CX khác nhau được sử dụng trong khảo sát?,,,
18,Có bao nhiêu nhóm sản phẩm khác nhau xuất hiện trong khảo sát khách hàng?,"{""measures"":[""cx_sur_question_answer_choices.distinct_product_category_count""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Có bao nhiêu nhóm sản phẩm khác nhau xuất hiện trong khảo sát khách hàng?,,,
19,Có bao nhiêu giai đoạn hành trình khách hàng khác nhau được đo lường trong khảo sát?,"{""measures"":[""cx_sur_question_answer_choices.distinct_journey_count""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Có bao nhiêu giai đoạn hành trình khách hàng khác nhau được đo lường trong khảo sát?,,,
20,Điểm chạm khách hàng nào có số lượng lựa chọn trả lời bất thường cao so với các điểm chạm khác?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.customer_touchpoint""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Điểm chạm khách hàng nào có số lượng lựa chọn trả lời bất thường cao so với các điểm chạm khác?,,,
21,Mỗi loại KPI CX có bao nhiêu khảo sát khác nhau?,"{""measures"":[""cx_sur_question_answer_choices.distinct_survey_count""],""dimensions"":[""cx_sur_question_answer_choices.kpi_type""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Mỗi loại KPI CX có bao nhiêu khảo sát khác nhau?,,,
22,Mỗi nhóm sản phẩm có bao nhiêu khảo sát CX khác nhau?,"{""measures"":[""cx_sur_question_answer_choices.distinct_survey_count""],""dimensions"":[""cx_sur_question_answer_choices.product_category""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Mỗi nhóm sản phẩm có bao nhiêu khảo sát CX khác nhau?,,,
23,Phân bố số lượng khảo sát theo từng giai đoạn hành trình khách hàng là như thế nào?,"{""measures"":[""cx_sur_question_answer_choices.distinct_survey_count""],""dimensions"":[""cx_sur_question_answer_choices.journey""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Phân bố số lượng khảo sát theo từng giai đoạn hành trình khách hàng là như thế nào?,,,
24,Điểm chạm khách hàng nào có nhiều khảo sát CX nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_survey_count""],""dimensions"":[""cx_sur_question_answer_choices.customer_touchpoint""],""order"":{""cx_sur_question_answer_choices.distinct_survey_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Điểm chạm khách hàng nào có nhiều khảo sát CX nhất?,,,
25,Điểm chạm khách hàng nào có ít khảo sát CX nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_survey_count""],""dimensions"":[""cx_sur_question_answer_choices.customer_touchpoint""],""order"":{""cx_sur_question_answer_choices.distinct_survey_count"":""asc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Điểm chạm khách hàng nào có ít khảo sát CX nhất?,,,
26,Số lượng lựa chọn trả lời theo từng loại KPI CX và nhóm sản phẩm là bao nhiêu?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.kpi_type"",""cx_sur_question_answer_choices.product_category""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Số lượng lựa chọn trả lời theo từng loại KPI CX và nhóm sản phẩm là bao nhiêu?,,,
27,Số lượng câu hỏi khảo sát theo từng loại KPI CX và giai đoạn hành trình khách hàng là bao nhiêu?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.kpi_type"",""cx_sur_question_answer_choices.journey""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Số lượng câu hỏi khảo sát theo từng loại KPI CX và giai đoạn hành trình khách hàng là bao nhiêu?,,,
28,"Trong mỗi giai đoạn hành trình khách hàng, có bao nhiêu loại KPI CX khác nhau được sử dụng?","{""measures"":[""cx_sur_question_answer_choices.distinct_kpi_type_count""],""dimensions"":[""cx_sur_question_answer_choices.journey""]}",cx_cso,"[""cx_sur_question_answer_choices""]","Trong mỗi giai đoạn hành trình khách hàng, có bao nhiêu loại KPI CX khác nhau được sử dụng?",,,
29,Nhóm sản phẩm nào có nhiều câu hỏi khảo sát CX nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.product_category""],""order"":{""cx_sur_question_answer_choices.distinct_question_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Nhóm sản phẩm nào có nhiều câu hỏi khảo sát CX nhất?,,,
30,Nhóm sản phẩm nào có ít câu hỏi khảo sát CX nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.product_category""],""order"":{""cx_sur_question_answer_choices.distinct_question_count"":""asc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Nhóm sản phẩm nào có ít câu hỏi khảo sát CX nhất?,,,
31,Mỗi loại câu hỏi khảo sát có bao nhiêu lựa chọn trả lời trung bình?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.question_type""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Mỗi loại câu hỏi khảo sát có bao nhiêu lựa chọn trả lời trung bình?,,,
32,Câu hỏi khảo sát nào có nhiều lựa chọn trả lời nhất?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.question_clean""],""order"":{""cx_sur_question_answer_choices.answer_choice_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Câu hỏi khảo sát nào có nhiều lựa chọn trả lời nhất?,,,
33,Câu hỏi khảo sát nào có ít lựa chọn trả lời nhất?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.question_clean""],""order"":{""cx_sur_question_answer_choices.answer_choice_count"":""asc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Câu hỏi khảo sát nào có ít lựa chọn trả lời nhất?,,,
34,Số lượng lựa chọn trả lời theo từng giai đoạn hành trình khách hàng và điểm chạm là bao nhiêu?,"{""measures"":[""cx_sur_question_answer_choices.answer_choice_count""],""dimensions"":[""cx_sur_question_answer_choices.journey"",""cx_sur_question_answer_choices.customer_touchpoint""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Số lượng lựa chọn trả lời theo từng giai đoạn hành trình khách hàng và điểm chạm là bao nhiêu?,,,
35,Giai đoạn hành trình khách hàng nào có nhiều câu hỏi khảo sát nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.journey""],""order"":{""cx_sur_question_answer_choices.distinct_question_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Giai đoạn hành trình khách hàng nào có nhiều câu hỏi khảo sát nhất?,,,
36,Giai đoạn hành trình khách hàng nào có ít câu hỏi khảo sát nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.journey""],""order"":{""cx_sur_question_answer_choices.distinct_question_count"":""asc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Giai đoạn hành trình khách hàng nào có ít câu hỏi khảo sát nhất?,,,
37,Điểm chạm khách hàng nào có nhiều câu hỏi khảo sát nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.customer_touchpoint""],""order"":{""cx_sur_question_answer_choices.distinct_question_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Điểm chạm khách hàng nào có nhiều câu hỏi khảo sát nhất?,,,
38,Điểm chạm khách hàng nào có ít câu hỏi khảo sát nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.customer_touchpoint""],""order"":{""cx_sur_question_answer_choices.distinct_question_count"":""asc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Điểm chạm khách hàng nào có ít câu hỏi khảo sát nhất?,,,
39,Phân bố số lượng câu hỏi khảo sát theo từng loại câu hỏi và KPI CX là như thế nào?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.question_type"",""cx_sur_question_answer_choices.kpi_type""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Phân bố số lượng câu hỏi khảo sát theo từng loại câu hỏi và KPI CX là như thế nào?,,,
40,Có điểm chạm khách hàng nào có số lượng câu hỏi khảo sát bất thường so với các điểm chạm khác không?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.customer_touchpoint""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Có điểm chạm khách hàng nào có số lượng câu hỏi khảo sát bất thường so với các điểm chạm khác không?,,,
41,Mỗi loại KPI CX được sử dụng trong bao nhiêu nhóm sản phẩm khác nhau?,"{""measures"":[""cx_sur_question_answer_choices.distinct_product_category_count""],""dimensions"":[""cx_sur_question_answer_choices.kpi_type""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Mỗi loại KPI CX được sử dụng trong bao nhiêu nhóm sản phẩm khác nhau?,,,
42,Mỗi nhóm sản phẩm đang sử dụng bao nhiêu loại KPI CX khác nhau trong khảo sát?,"{""measures"":[""cx_sur_question_answer_choices.distinct_kpi_type_count""],""dimensions"":[""cx_sur_question_answer_choices.product_category""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Mỗi nhóm sản phẩm đang sử dụng bao nhiêu loại KPI CX khác nhau trong khảo sát?,,,
43,Mỗi giai đoạn hành trình khách hàng có bao nhiêu nhóm sản phẩm khác nhau được khảo sát?,"{""measures"":[""cx_sur_question_answer_choices.distinct_product_category_count""],""dimensions"":[""cx_sur_question_answer_choices.journey""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Mỗi giai đoạn hành trình khách hàng có bao nhiêu nhóm sản phẩm khác nhau được khảo sát?,,,
44,Mỗi điểm chạm khách hàng có bao nhiêu loại KPI CX được đo lường?,"{""measures"":[""cx_sur_question_answer_choices.distinct_kpi_type_count""],""dimensions"":[""cx_sur_question_answer_choices.customer_touchpoint""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Mỗi điểm chạm khách hàng có bao nhiêu loại KPI CX được đo lường?,,,
45,Nhóm sản phẩm nào có phạm vi đo lường CX rộng nhất theo số giai đoạn hành trình khách hàng?,"{""measures"":[""cx_sur_question_answer_choices.distinct_journey_count""],""dimensions"":[""cx_sur_question_answer_choices.product_category""],""order"":{""cx_sur_question_answer_choices.distinct_journey_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Nhóm sản phẩm nào có phạm vi đo lường CX rộng nhất theo số giai đoạn hành trình khách hàng?,,,
46,Nhóm sản phẩm nào có phạm vi đo lường CX hẹp nhất theo hành trình khách hàng?,"{""measures"":[""cx_sur_question_answer_choices.distinct_journey_count""],""dimensions"":[""cx_sur_question_answer_choices.product_category""],""order"":{""cx_sur_question_answer_choices.distinct_journey_count"":""asc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Nhóm sản phẩm nào có phạm vi đo lường CX hẹp nhất theo hành trình khách hàng?,,,
47,KPI CX nào được đo lường ở nhiều điểm chạm khách hàng nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.kpi_type"",""cx_sur_question_answer_choices.customer_touchpoint""]}",cx_cso,"[""cx_sur_question_answer_choices""]",KPI CX nào được đo lường ở nhiều điểm chạm khách hàng nhất?,,,
48,Giai đoạn hành trình khách hàng nào có nhiều nhóm sản phẩm tham gia khảo sát CX nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_product_category_count""],""dimensions"":[""cx_sur_question_answer_choices.journey""],""order"":{""cx_sur_question_answer_choices.distinct_product_category_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Giai đoạn hành trình khách hàng nào có nhiều nhóm sản phẩm tham gia khảo sát CX nhất?,,,
49,Giai đoạn hành trình khách hàng nào có ít nhóm sản phẩm tham gia khảo sát CX nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_product_category_count""],""dimensions"":[""cx_sur_question_answer_choices.journey""],""order"":{""cx_sur_question_answer_choices.distinct_product_category_count"":""asc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Giai đoạn hành trình khách hàng nào có ít nhóm sản phẩm tham gia khảo sát CX nhất?,,,
50,Điểm chạm khách hàng nào có nhiều nhóm sản phẩm được khảo sát CX nhất?,"{""measures"":[""cx_sur_question_answer_choices.distinct_product_category_count""],""dimensions"":[""cx_sur_question_answer_choices.customer_touchpoint""],""order"":{""cx_sur_question_answer_choices.distinct_product_category_count"":""desc""}}",cx_cso,"[""cx_sur_question_answer_choices""]",Điểm chạm khách hàng nào có nhiều nhóm sản phẩm được khảo sát CX nhất?,,,
51,Mỗi loại KPI CX có bao nhiêu câu hỏi khảo sát trung bình trên mỗi khảo sát?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.kpi_type""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Mỗi loại KPI CX có bao nhiêu câu hỏi khảo sát trung bình trên mỗi khảo sát?,,,
52,Mỗi nhóm sản phẩm có bao nhiêu câu hỏi khảo sát CX trung bình?,"{""measures"":[""cx_sur_question_answer_choices.distinct_question_count""],""dimensions"":[""cx_sur_question_answer_choices.product_category""]}",cx_cso,"[""cx_sur_question_answer_choices""]",Mỗi nhóm sản phẩm có bao nhiêu câu hỏi khảo sát CX trung bình?,,,
